Time,ug/l
0.25,56.4
0.5,118.4
0.75,152.2
1,135.4
2,191.8
3,361
4,180.4
5,208.6
6,84.6
7,95.8
8,152.2
9,101.6
10,73.4
24,7.8
30,0.2
36,0.1
48,0.1
