Time,ug/l
0.25,28.2
0.5,59.2
0.75,76.1
1,67.7
2,95.9
3,180.5
4,90.2
5,104.3
6,42.3
7,47.9
8,76.1
9,50.8
10,36.7
24,3.9
30,0.1
36,0.05
48,0.05
