Time,ug/l
0.25,0
0.5,0
0.75,0
1,5.9
2,14.2
3,71.1
4,67.2
5,51.4
6,43.5
7,35.9
8,25.7
9,29.6
10,22.1
24,3.6
30,0.1
36,0.05
48,0
