time,mass (ug)
3.2,0.311291168
4.9,2.551846855
6,5.00840397
6.4,7.248239291
7,8.853541964
7.8,9.929092573
8.4,11.05999905
10,11.3812015
10.5,11.68275408
11,11.78784626
12.6,11.8553517
15.3,11.9513875
17.8,12.04005082
23.5,12.18011797
