time,mass (ug)
3.2,7.146127343
4.3,10.94755883
6.1,13.95080037
8.5,19.08043021
10.1,19.69954757
11.1,19.97014816
11.8,20.40070338
12.7,20.56900424
15.1,20.66625888
15.6,20.77128081
17.3,21.21049868
22.1,21.41779087
