time,mass (ug)
0.0,0
3.0,0.758163243
3.8,1.668968745
6.6,6.007202148
8.5,7.175605023
9.9,8.362951428
10.7,10.0760406
11.8,12.30240884
14.7,12.96468659
23.7,13.79889345
,
,
,
,
