time,mass (ug)
0.0,0
3.1,67.32307772
3.5,99.03468047
4.8,127.6905724
6.1,145.478832
8.6,156.1333566
8.6,164.2659633
11.1,168.7327938
14.1,169.4692274
17.1,169.5854272
18.6,169.9461027
20.6,170.1911338
21.8,170.2189369
,
