time,mass (ug)
3.1,29.18114546
3.6,64.99152592
5.4,88.34108424
6.4,99.6320842
7.8,109.0433729
9.4,114.2699443
10.8,116.2130531
11.9,116.8439521
13.9,118.8158948
18.7,121.9875657
22.1,124.5447543
