time,mass (ug)
0.0,0
3.1,41.54586328
3.9,53.88702407
5.1,160.6855512
6.6,190.1647558
7.7,198.9546224
9.0,215.2922122
10.0,235.4593373
11.3,244.9427318
12.6,249.6972699
13.4,251.712278
14.1,251.9773828
17.3,254.1078336
25.3,257.5612803
