time,mass (ug)
3.1,3.179362278
4.1,5.160187236
6,6.756080455
8,8.454084555
8.9,9.215209423
9.8,9.946580535
10.8,10.63054925
12.2,10.74045671
12.7,10.87971061
21,11.76262014
