time,mass (ug)
0.0,0
2.2,24.43018867
3.2,152.4327009
3.9,183.1747038
5.9,211.8396725
7.9,219.832874
10.9,221.4185275
11.9,222.8486166
12.9,224.9569296
13.9,226.7300426
19.1,227.4613824
21.8,227.9038934
23.0,228.268734
23.7,228.4235526
