time,mass (ug)
3.1,2.344778481
4.1,9.849182073
4.8,12.63656489
6.3,16.38442595
7,17.28036063
7.7,17.43963674
9.4,19.09902227
9.4,20.18044907
9.4,20.55638141
10.5,21.06424575
11.4,23.12693363
12.2,24.23467111
13.3,24.93225211
14.3,25.55129405
19.7,26.87803809
24.8,27.24061687
