time,mass (ug)
1.5,13.24118212
3.1,117.5301607
4,144.4101678
5.2,170.1046307
5.9,177.3131803
6.9,183.4920995
7.8,187.8169393
9.1,191.9196019
9.9,194.6949493
11,196.2339218
12,197.3058114
13.1,198.241258
14.4,199.1231676
22,205.7638658
