time,mass (ug)
0.0,0
3.1,0.938977502
4.3,3.19902383
6.3,5.085922946
8.8,6.451412973
12.2,7.094344334
15.7,7.363880124
16.7,7.410471376
24.6,8.247455862
,
,
,
,
,
,
