time,mass (ug)
3.1,127.0216515
4.3,182.4520426
5.6,219.7347422
6.6,252.7411267
8.1,274.9376392
9.6,276.5914017
10.6,277.538486
11.6,278.4328414
12.6,278.9306462
13.1,279.7639388
14.1,280.2152813
