time,mass (ug)
0.0,0
1.7,0.597230204
3.1,4.887668123
3.9,6.717548906
4.3,7.612878207
5.5,11.3946594
6.0,12.30331722
6.7,15.04532998
7.4,17.1993673
8.9,19.4675492
10.6,20.29338866
12.1,20.98474883
13.0,21.16283869
14.0,21.52318209
23.1,21.85731899
