time,DPHP,MPHP,OH,OXO
0.25,0.0009014,0.652802,0.122431641,0.48276691
0.5,0.0009014,12.403238,0.979451757,0.9652615
0.75,0.0009014,19.58406,4.897272479,3.149492172
1,0.0009014,35.90411,6.856169144,7.765159532
2,9.014,35.90411,14.93669578,16.98975431
3,13.521,128.601994,30.73042127,30.59061243
4,37.8588,57.446576,27.05741726,40.0583216
5,38.7602,49.612952,18.36474612,27.64253553
6,40.563,143.61644,27.05741726,32.0042297
7,45.07,192.57659,71.98981025,86.939777
8,108.168,88.12827,49.21760998,57.01771214
10,72.112,30.028892,21.79286493,28.29671817
24,18.028,8.486426,6.73374709,7.294316869
