time,DPHP,MPHP,OH,OXO
0.25,0.0009014,7.180822,0.367295607,0.239352963
0.5,0.0009014,19.58406,3.672956071,2.6672665
0.75,0.0009014,26.11208,7.590756249,5.824615127
1,7.2112,34.598506,11.14131766,10.44003059
2,8.1126,27.417684,10.77398987,11.39744244
3,13.521,45.043338,15.79372549,16.73166227
4,26.1406,34.598506,11.75346217,14.28506413
5,34.2532,35.90411,11.14131766,14.02649553
6,61.2952,55.48817,17.75260161,20.81994636
7,67.605,52.22416,17.1404571,20.80449216
8,173.0688,40.473724,16.0385422,17.62875507
10,68.5064,19.58406,9.672143448,12.00607943
24,33.3518,0.000652802,1.71404571,1.702005
