time,DPHP,MPHP,OH,OXO
0.25,0.0009014,0.652802,0.122431641,0.239352963
0.5,0.0009014,7.180822,1.71404571,0.235562258
0.75,0.0009014,7.833624,2.571068565,0.474915221
1,0.0009014,9.79203,3.305662518,2.172588958
2,0.0009014,35.251308,20.44613331,11.64028452
3,3.6056,48.96015,26.69015795,23.05318116
4,9.014,13.708842,12.97775118,11.1242366
5,10.8168,10.444832,6.244024636,5.03047321
6,11.7182,14.361644,9.304815655,6.71731675
7,9.014,7.180822,7.835641444,5.972723602
8,10.8168,5.875218,6.121588886,5.471272081
10,7.6619,2.611208,3.489305871,4.711789794
24,4.507,0.000652802,0.857022855,0.486016378
