time,OH-MINCH,MINCH,oxo-MINCH,cx-MINCH,CHDA
0,0.028581359,0,0.028581359,0,0.006833297
1,1.843886443,0.362341979,1.843886443,0.272268603,4.311810476
2,7.084300747,3.585610195,7.084300747,1.200952383,57.9190263
3,12.01716452,7.531691582,12.01716452,2.641085979,124.4924234
4,17.61718212,10.88965649,17.61718212,4.398350314,153.738935
5,21.61202145,12.97903062,21.61202145,5.813377577,186.0262639
6,24.35180044,14.33249607,24.35180044,7.087573167,204.117418
8,28.62905171,15.37790191,28.62905171,9.04194816,257.3146359
10,33.90535158,15.92998112,33.90535158,10.53920179,276.3282852
12,39.14240161,16.65691002,39.14240161,11.83657108,326.279687
14,41.31609511,16.86760006,41.31609511,12.45304518,336.1538013
18,47.6493371,17.68015195,47.6493371,14.92896263,357.2686894
22,50.28585162,17.9381483,50.28585162,16.32877936,377.1706672
26,55.24474178,18.33101366,55.24474178,17.53600385,412.6986872
30,57.84270735,18.50733537,57.84270735,18.78147837,429.2694327
34,61.03596217,18.73723545,61.03596217,20.29778991,452.2036862
38,63.34399291,18.89184618,63.34399291,21.94186996,467.5657922
42,65.14668198,18.99373517,65.14668198,22.59520724,479.9169767
46,66.06391335,19.05777517,66.06391335,23.17249183,484.8198674
70,68.23083158,19.05777517,68.23083158,25.65180928,508.0103695
