time,mass_cx,mass_oh,mass_oxo
0.74,1.8,0.55,0.28
1.54,5.3,1.25,0.6
2.29,6.25,1.35,0.67
3.27,6.92,1.42,0.71
3.79,7.64,1.52,0.78
4.78,8.44,1.62,0.85
6.29,11.94,2.12,1.1
7.6,14.44,2.37,1.18
9.06,15.24,2.44,1.22
11.17,16.1,2.52,1.28
13.19,16.93,2.72,1.37
15.2,17.08,2.73,1.38
23.37,17.11,2.73,1.39
