time,mass_cx,mass_oh,mass_oxo
0.75,1.5,1.18,1.07
1.5,6.3,4.18,3.57
2.26,9.8,4.88,4.17
3.05,11.6,5.38,4.67
3.71,12.55,5.63,4.87
4.18,13.3,5.7,4.93
4.7,15.3,6.3,5.43
5.22,17.5,6.7,5.83
5.69,20.5,7.35,6.43
6.25,25.5,8.05,7.03
7.61,25.9,8.09,7.06
10.1,26.15,8.11,7.07
11.23,26.27,8.19,7.15
13.35,26.34,8.21,7.17
14.99,26.37,8.22,7.18
18.99,26.4,8.23,7.18
22.61,26.41,8.24,7.19
26.65,26.47,8.26,7.19
