time_cx,mass_cx,time_oh,mass_oh,time_oxo,mass_oxo
0.75,1.50,0.00,0.08,0.00,0.07
1.50,6.30,0.76,1.18,0.76,1.07
2.26,9.80,1.48,4.18,1.57,3.57
3.05,11.60,2.24,4.88,2.24,4.17
3.71,12.55,3.00,5.38,3.05,4.67
4.18,13.30,3.77,5.63,3.72,4.87
4.70,15.30,4.24,5.70,4.24,4.93
5.22,17.50,4.72,6.30,4.67,5.43
5.69,20.50,5.20,6.70,5.20,5.83
6.25,25.50,5.67,7.35,5.72,6.43
7.61,25.90,6.25,8.05,6.29,7.03
10.10,26.15,7.63,8.09,7.63,7.06
11.23,26.27,10.16,8.11,10.11,7.07
13.35,26.34,11.25,8.19,11.25,7.15
14.99,26.37,13.30,8.21,13.30,7.17
18.99,26.40,15.02,8.22,15.07,7.18
22.61,26.41,18.98,8.23,18.98,7.18
26.65,26.47,22.65,8.24,22.60,7.19
27.68,26.49,26.61,8.26,26.65,7.19
29.47,26.52,,,,
32.33,26.53,,,,
35.30,26.53,,,,
,,,,,
