time,mass_cx,mass_oh,mass_oxo
0.75,0.75,0.7,0.45
1.46,4.25,1.6,1.15
2.26,8.25,2.6,1.95
2.96,10.75,3.35,2.55
3.71,11.75,3.9,2.9
4.75,13.25,5.4,3.8
6.39,19.75,7.4,4.75
7.75,20.7,7.75,5
9.31,21.15,7.82,5.06
10.72,21.24,7.85,5.08
12.17,21.32,7.88,5.12
13.63,21.38,7.9,5.12
21.24,21.4,7.91,5.13
23.4,21.4,7.91,5.13
