time_cx,mass_cx,time_oh,mass_oh,time_oxo,mass_oxo
0.74,2.00,0.72,3.00,0.72,1.50
1.45,8.00,1.48,5.50,1.48,3.30
2.34,9.80,2.34,5.59,2.34,3.36
3.05,14.80,3.00,7.59,3.05,4.21
3.75,19.80,4.72,10.09,3.72,4.96
4.79,24.60,6.29,10.59,4.72,5.91
6.24,26.40,7.72,10.84,6.25,6.21
7.74,27.20,9.20,10.91,7.72,6.29
9.29,27.80,11.21,10.95,9.25,6.36
11.26,27.95,,,11.25,6.40
13.41,27.96,,,,
15.29,27.97,,,,
19.22,27.97,,,,
23.27,27.98,,,,
26.23,27.98,,,,
29.24,27.99,,,,
30.28,28.00,,,,
32.20,28.00,,,,
,,,,,
,,,,,
,,,,,
,,,,,
