time_cx,mass_cx,time_oh,mass_oh,time_oxo,mass_oxo
0.74,1.80,0.76,0.55,0.76,0.28
1.54,5.30,1.53,1.25,1.53,0.60
2.29,6.25,2.29,1.35,2.29,0.67
3.27,6.92,3.24,1.42,3.24,0.71
3.79,7.64,3.77,1.52,3.77,0.78
4.78,8.44,4.77,1.62,4.72,0.85
6.29,11.94,6.25,2.12,6.25,1.10
7.60,14.44,7.63,2.37,7.58,1.18
9.06,15.24,9.01,2.44,9.01,1.22
11.17,16.10,11.16,2.52,11.16,1.28
13.19,16.93,13.21,2.72,13.21,1.37
15.20,17.08,15.21,2.73,15.16,1.38
23.37,17.11,23.36,2.73,23.36,1.39
28.25,17.11,28.28,2.73,,
29.52,17.11,29.52,2.74,,
32.20,17.12,,,,
35.30,17.12,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
